genomes,primary_dbxref,displayname,uniquename,stx1_subtype,stx2_subtype,isolation_host,strain,serotype,isolation_date,isolation_source,syndrome,isolation_location
public_2850989,genbank: JNMR00000000.1,3-267-03_S4_C2,3-267-03_S4_C2,undefined,undefined,Homo sapiens (human),3-267-03_S4_C2,undefined,2009-07-08,Stool,undefined,Tanzania
public_2875774,genbank: JORF00000000.1,6-319-05_S3_C1,6-319-05_S3_C1,undefined,undefined,Homo sapiens (human),6-319-05_S3_C1,undefined,2009-04-15,Stool,undefined,Tanzania
public_2711965,genbank: APYP00000000.1,P0299917.6,P0299917.6,undefined,undefined,Homo sapiens (human),P0299917.6,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2774800,genbank: CBWC000000000.1,IS9,IS9,undefined,undefined,undefined,IS9,undefined,undefined,Blood,undefined,"Vienna, Austria"
public_2684575,genbank: ANWP00000000.1,KTE158,KTE158,undefined,undefined,Homo sapiens (human),KTE158,undefined,2010-01-01,undefined,undefined,Denmark
public_2750853,genbank: AVRL00000000.1,Bd5610_99,Bd5610_99,undefined,undefined,Bos taurus (cow),Bd5610_99,O157:H7,1999-01-01,undefined,undefined,Sweden
public_2572306,genbank: AFPS00000000.1,O104:H4 Str. 01-09591,O104:H4 Str. 01-09591,undefined,2a,Homo sapiens (human),HUSEC<DEU>:041,O104:H4,2001-01-01,undefined,undefined,"Cologne, Germany"
public_2869157,genbank: JNRY00000000.1,3-073-06_S4_C2,3-073-06_S4_C2,undefined,undefined,Homo sapiens (human),3-073-06_S4_C2,undefined,2009-07-09,Stool,undefined,Tanzania
public_2584873,genbank: AHHP00000000.1,P4-NR,P4-NR,undefined,undefined,Bos taurus (cow),P4-NR,undefined,undefined,persistent mastitis,Mastitis,undefined
public_2607378,genbank: AIGP00000000.1,DEC10A,DEC10A,1a,undefined,Homo sapiens (human),DEC10A,O26:H11,undefined,undefined,undefined,United Kingdom
public_2607176,genbank: AIGM00000000.1,DEC9C,DEC9C,undefined,undefined,Homo sapiens (human),DEC9C,O26:NM,1952-01-01,undefined,undefined,Switzerland
public_2693661,genbank: AOQO00000000.1,TOP550-4,TOP550-4,undefined,undefined,Homo sapiens (human),TOP550-4,undefined,2003-05-23,Stool,undefined,"Seattle, WA, USA"
public_2847066,genbank: JMUY00000000.1,BIDMC 62,BIDMC 62,undefined,undefined,Homo sapiens (human),BIDMC 62,undefined,2013-01-01,BRONCHOALVEOLAR LAVA,undefined,"Boston, MA, USA"
public_2765064,genbank: AYGW00000000.2,ATCC BAA-2192,ATCC BAA-2192,1a,2a,undefined,ATCC BAA-2192,O145,undefined,undefined,undefined,undefined
public_2778928,genbank: CCPW00000000.1,NA Str. E. coli (2778928),NA Str. E. coli (2778928),undefined,undefined,Ovis aries (sheep),E. coli,NA,2009-05-01,Stool,undefined,Norway
public_2636825,genbank: AKME00000000.1,TW14301,TW14301,undefined,2c,Homo sapiens (human),TW14301,O157:NM,2006-01-01,undefined,undefined,United States
public_2851632,genbank: JNMU00000000.1,3-373-03_S1_C3,3-373-03_S1_C3,undefined,undefined,Homo sapiens (human),3-373-03_S1_C3,undefined,2009-01-16,Stool,undefined,Tanzania
public_2596102,genbank: AIBJ00000000.1,C654_09,C654_09,undefined,undefined,Homo sapiens (human),C654_09,undefined,undefined,Stool,undefined,France
public_2592179,genbank: AIAW00000000.1,C354_03B,C354_03B,undefined,undefined,Homo sapiens (human),C354_03B,undefined,undefined,Stool,undefined,United Kingdom
public_2782395,genbank: CCQQ00000000.1,117 Str. E. coli,117 Str. E. coli,1a,undefined,Homo sapiens (human),29755,117,2010-01-26,Stool,undefined,Norway
public_2572273,genbank: AFPN00000000.2,O104:H4 Str. H112180280,O104:H4 Str. H112180280,undefined,2a,Homo sapiens (human),H112180280,O104:H4,2011-05-01,Stool,Hemolytic-uremic syndrome,United Kingdom
public_2781845,genbank: CCQM00000000.1,NA Str. E. coli (2781845),NA Str. E. coli (2781845),1a,undefined,Homo sapiens (human),E. coli,NA,2009-06-18,Stool,undefined,Norway
public_2606152,genbank: AIFZ00000000.1,DEC6E,DEC6E,undefined,undefined,Homo sapiens (human),DEC6E,O111:H12,1983-01-01,undefined,undefined,Brazil
public_2834643,genbank: JHOC00000000.1,O174:H8 Str. 04-3038,O174:H8 Str. 04-3038,1c,undefined,undefined,04-3038,O174:H8,undefined,undefined,undefined,United States
public_2775506,genbank: CBWJ000000000.1,IS35,IS35,undefined,undefined,undefined,IS35,undefined,undefined,Blood,undefined,"Vienna, Austria"
public_2684283,genbank: ANWH00000000.1,KTE135,KTE135,undefined,undefined,Homo sapiens (human),KTE135,undefined,2010-01-01,undefined,undefined,Denmark
public_2581430,genbank: AHAU00000000.1,O104:H4 Str. E92/11,O104:H4 Str. E92/11,undefined,2a,Homo sapiens (human),E92/11,O104:H4,2011-01-01,Stool,Hemolytic-uremic syndrome,Sweden
public_2860022,genbank: JNPY00000000.1,1-392-07_S3_C1,1-392-07_S3_C1,undefined,undefined,Homo sapiens (human),1-392-07_S3_C1,undefined,2009-04-09,Stool,undefined,Tanzania
public_2828552,genbank: JHMW00000000.1,O111:NM Str. 2010C-4715,O111:NM Str. 2010C-4715,1a,undefined,undefined,2010C-4715,O111:NM,undefined,undefined,undefined,United States
public_2670778,genbank: ANLJ00000000.1,89.0511,89.0511,1a,2a,Homo sapiens (human),89.0511,O157:H7,1989-01-01,undefined,undefined,United States
public_2735020,genbank: AQDP00000000.1,2850400,2850400,undefined,undefined,Homo sapiens (human),2850400,undefined,2008-01-01,Stool,undefined,Bangladesh
public_2808062,genbank: JHIM00000000.1,O157:H7 Str. K4406,O157:H7 Str. K4406,undefined,undefined,undefined,K4406,O157:H7,undefined,undefined,undefined,United States
public_2803743,genbank: JHHJ00000000.1,O39:NM Str. F8704-2,O39:NM Str. F8704-2,undefined,undefined,undefined,F8704-2,O39:NM,undefined,undefined,undefined,United States
public_2750702,genbank: AVRK00000000.1,09BKT024447,09BKT024447,undefined,2c,Bos taurus (cow),09BKT024447,O157:H7,2009-01-01,undefined,undefined,Sweden
public_2828772,genbank: JHMX00000000.1,O111:NM Str. 2010C-4622,O111:NM Str. 2010C-4622,1a,undefined,undefined,2010C-4622,O111:NM,undefined,undefined,undefined,United States
public_2721029,genbank: AQAI00000000.1,P0304777.12,P0304777.12,undefined,undefined,Homo sapiens (human),P0304777.12,undefined,undefined,Stool,undefined,Bangladesh
public_2569969,genbank: AEZJ00000000.2,97.0246,97.0246,1a,2d,Bos taurus (cow),97.0246,undefined,undefined,undefined,undefined,undefined
public_2746324,genbank: ATNZ00000000.1,MC19,MC19,undefined,undefined,Homo sapiens (human),MC19,undefined,undefined,Stool,Bacteremia,"Missouri, USA"
public_2786924,genbank: JDWQ00000000.1,10810,10810,undefined,undefined,Homo sapiens (human),10810,undefined,2005-01-01,peri-anal swab culture,undefined,"Maryland, USA"
public_2684752,genbank: ANWU00000000.1,KTE173,KTE173,undefined,undefined,Homo sapiens (human),KTE173,undefined,2010-01-01,undefined,undefined,undefined
public_2677435,genbank: ANLX00000000.1,96.0109,96.0109,1a,undefined,Homo sapiens (human),96.0109,O157:H7,1996-01-01,undefined,undefined,United States
public_2753176,genbank: AVSD00000000.1,B40-1,B40-1,1a,2a,Homo sapiens (human),B40-1,O157:H7,2001-01-01,undefined,undefined,"Washington, DC, USA"
public_2690862,genbank: AONF00000000.1,EC096/10,EC096/10,undefined,undefined,Homo sapiens (human),EC096/10,undefined,2010-03-01,Stool,undefined,"Eastern Dispersal Link, Johor Bahru, Johor, Malaysia"
public_2759710,genbank: AXTO00000000.1,908524,908524,undefined,undefined,Homo sapiens (human),908524,undefined,undefined,undefined,undefined,undefined
public_2802908,genbank: JHHF00000000.1,O91:H14 Str. 2009C-3227,O91:H14 Str. 2009C-3227,1a,undefined,undefined,2009C-3227,O91:H14,undefined,undefined,undefined,United States
public_2872919,genbank: JOQG00000000.1,4-203-08_S1_C3,4-203-08_S1_C3,undefined,undefined,Homo sapiens (human),4-203-08_S1_C3,undefined,2009-01-19,Stool,undefined,Tanzania
public_2758991,genbank: AXTL00000000.1,908519,908519,undefined,undefined,Homo sapiens (human),908519,undefined,undefined,undefined,undefined,undefined
public_2663629,genbank: AMVB00000000.1,EC1864,EC1864,undefined,undefined,Homo sapiens (human),EC1864,O157:H7,2007-01-01,undefined,undefined,United States
public_2787569,genbank: JDWR00000000.1,11117,11117,undefined,undefined,Homo sapiens (human),11117,undefined,2005-01-01,peri-anal swab culture,undefined,"Maryland, USA"
public_2796658,genbank: JHFY00000000.1,O103:H11 Str. 2010C-3214,O103:H11 Str. 2010C-3214,1a,undefined,undefined,2010C-3214,O103:H11,undefined,undefined,undefined,United States
public_2804164,genbank: JHHL00000000.1,O111:NM Str. K6915,O111:NM Str. K6915,1a,2a,undefined,K6915,O111:NM,undefined,undefined,undefined,United States
public_2684623,genbank: ANWQ00000000.1,KTE165,KTE165,undefined,undefined,Homo sapiens (human),KTE165,undefined,2010-01-01,undefined,undefined,Denmark
public_2734006,genbank: AQDI00000000.1,2866450,2866450,undefined,undefined,Homo sapiens (human),2866450,undefined,2008-01-01,Stool,undefined,Bangladesh
public_2877181,genbank: JORN00000000.1,7-233-03_S1_C2,7-233-03_S1_C2,undefined,undefined,Homo sapiens (human),7-233-03_S1_C2,undefined,2009-01-27,Stool,undefined,Tanzania
public_2738444,genbank: AQEL00000000.1,P0305260.1,P0305260.1,undefined,undefined,Homo sapiens (human),P0305260.1,undefined,undefined,Stool,undefined,Bangladesh
public_2605386,genbank: AIFN00000000.1,DEC4D,DEC4D,undefined,2c,Bos taurus (cow),DEC4D,O157:H7,1987-01-01,undefined,undefined,Japan
public_2845624,genbank: JMGQ00000000.1,2-011-08_S1_C1,2-011-08_S1_C1,undefined,undefined,Homo sapiens (human),2-011-08_S1_C1,undefined,2009-01-23,Stool,undefined,Tanzania
public_2759227,genbank: AXTM00000000.1,908521,908521,undefined,undefined,Homo sapiens (human),908521,undefined,undefined,undefined,undefined,undefined
public_2703808,genbank: APXD00000000.1,2730350,2730350,undefined,undefined,Homo sapiens (human),2730350,undefined,2007-01-01,Stool,undefined,Bangladesh
public_2637311,genbank: AKMF00000000.1,EC4421,EC4421,1a,2a,Allium cepa (common onion),EC4421,O157:H7,2006-01-01,undefined,undefined,United States
public_2738041,genbank: AQEI00000000.1,174750,174750,undefined,undefined,Homo sapiens (human),174750,undefined,2010-01-01,Stool,undefined,Bangladesh
public_2813723,genbank: JHJZ00000000.1,O104:H21 Str. 94-3025,O104:H21 Str. 94-3025,undefined,undefined,undefined,94-3025,O104:H21,undefined,undefined,undefined,United States
public_2753959,genbank: AVSJ00000000.1,B85,B85,1a,2a,Homo sapiens (human),B85,O157:H7,2002-01-01,undefined,undefined,"Washington, DC, USA"
public_2833178,genbank: JHNU00000000.1,O111:NM Str. 03-3484,O111:NM Str. 03-3484,1a,undefined,undefined,03-3484,O111:NM,undefined,undefined,undefined,United States
public_2733098,genbank: AQDC00000000.1,2872800,2872800,undefined,undefined,Homo sapiens (human),2872800,undefined,2008-01-01,Stool,undefined,Bangladesh
public_2867346,genbank: JNRO00000000.1,3-020-07_S1_C1,3-020-07_S1_C1,undefined,undefined,Homo sapiens (human),3-020-07_S1_C1,undefined,2009-01-16,Stool,undefined,Tanzania
public_2570212,genbank: AEZO00000000.2,1.2264,1.2264,1c,undefined,Capra aegagrus hircus (goat),1.2264,undefined,undefined,undefined,undefined,undefined
public_2626645,genbank: AKLH00000000.1,PA15,PA15,1a,2a,Homo sapiens (human),PA15,O157:H7,2007-01-01,undefined,undefined,United States
public_2691914,genbank: AOQH00000000.1,TOP293-2,TOP293-2,undefined,undefined,Homo sapiens (human),TOP293-2,undefined,2003-04-22,Stool,undefined,"Seattle, WA, USA"
public_2845750,genbank: JMGR00000000.1,2-052-05_S1_C1,2-052-05_S1_C1,undefined,undefined,Homo sapiens (human),2-052-05_S1_C1,undefined,2009-01-23,Stool,undefined,Tanzania
public_2811397,genbank: JHJM00000000.1,O157:H7 Str. F7377,O157:H7 Str. F7377,1a,2a,undefined,F7377,O157:H7,undefined,undefined,undefined,United States
public_2836709,genbank: JJLH00000000.1,1-182-04_S4_C3,1-182-04_S4_C3,undefined,undefined,Homo sapiens (human),1-182-04_S4_C3,undefined,2009-07-04,Stool,undefined,Tanzania
public_2749504,genbank: AVQV00000000.1,B26-2,B26-2,1a,2a,Homo sapiens (human),B26-2,O157:H7,2000-01-01,undefined,undefined,"Washington, DC, USA"
public_2763437,genbank: AXUE00000000.1,110957,110957,undefined,undefined,Homo sapiens (human),110957,undefined,undefined,undefined,undefined,undefined
public_2795899,genbank: JHFT00000000.1,O145:NM Str. 2010C-3510,O145:NM Str. 2010C-3510,undefined,2a,undefined,2010C-3510,O145:NM,undefined,undefined,undefined,United States
public_2639928,genbank: AKMK00000000.1,EC4436,EC4436,undefined,2a,Homo sapiens (human),EC4436,O157:H7,2006-01-01,undefined,undefined,United States
public_2711754,genbank: APYO00000000.1,P0299917.5,P0299917.5,undefined,undefined,Homo sapiens (human),P0299917.5,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2726174,genbank: AQBL00000000.1,P0305260.15,P0305260.15,undefined,undefined,Homo sapiens (human),P0305260.15,undefined,undefined,undefined,undefined,Bangladesh
public_2604378,genbank: AIFA00000000.1,DEC2A,DEC2A,undefined,undefined,Homo sapiens (human),DEC2A,O55:H6,1962-01-01,undefined,undefined,Congo
public_2798119,genbank: JHGH00000000.1,O121:H19 Str. 2009EL1302,O121:H19 Str. 2009EL1302,undefined,2a,undefined,2009EL1302,O121:H19,undefined,undefined,undefined,United States
public_2886136,genbank: JQFC00000000.1,K1 (2886136),K1 (2886136),undefined,undefined,undefined,910,undefined,2007-01-01,Enteral feeding tube,undefined,"Nottingham, Nottingham, UK"
public_2685367,genbank: AODX00000000.1,09BKT078844,09BKT078844,1a,2c,Bos taurus (cow),09BKT078844,O157:H7,2009-01-01,undefined,undefined,Sweden
public_2581938,genbank: AHAX00000000.1,ONT:H33 Str. C48/93,ONT:H33 Str. C48/93,undefined,undefined,Homo sapiens (human),C48/93,ONT:H33,1993-01-01,Stool,undefined,Sweden
public_2660038,genbank: AMUU00000000.1,EC1846,EC1846,undefined,undefined,Homo sapiens (human),EC1846,O157:H7,2009-01-01,undefined,undefined,United States
public_2742531,genbank: ASYQ00000000.2,E1777,E1777,undefined,undefined,Homo sapiens (human),E1777,undefined,2005-04-01,Stool,Diarrhea,"Bengal Studio, Dhaka, Bangladesh"
public_2654994,genbank: AMUH00000000.1,CB7326,CB7326,1a,2c,Homo sapiens (human),CB7326,Or:H7,2003-01-01,undefined,undefined,Germany
public_2678068,genbank: ANLY00000000.1,96.0107,96.0107,1a,undefined,Homo sapiens (human),96.0107,O157:H7,1996-01-01,undefined,undefined,United States
public_2849627,genbank: JNMH00000000.1,3-373-03_S3_C3,3-373-03_S3_C3,undefined,undefined,Homo sapiens (human),3-373-03_S3_C3,undefined,2009-04-16,Stool,undefined,Tanzania
public_2821365,genbank: JHLN00000000.1,O26:H11 Str. 2011C-3655,O26:H11 Str. 2011C-3655,1a,undefined,undefined,2011C-3655,O26:H11,undefined,undefined,undefined,United States
public_2850468,genbank: JNMO00000000.1,3-105-05_S3_C3,3-105-05_S3_C3,undefined,undefined,Homo sapiens (human),3-105-05_S3_C3,undefined,2009-04-17,Stool,undefined,Tanzania
public_2722706,genbank: AQAR00000000.1,P0304777.8,P0304777.8,undefined,undefined,Homo sapiens (human),P0304777.8,undefined,undefined,Stool,undefined,Bangladesh
public_2862272,genbank: JNQL00000000.1,2-222-05_S1_C2,2-222-05_S1_C2,undefined,undefined,Homo sapiens (human),2-222-05_S1_C2,undefined,2009-01-23,Stool,undefined,Tanzania
public_2856453,genbank: JNPA00000000.1,2-052-05_S4_C2,2-052-05_S4_C2,undefined,undefined,Homo sapiens (human),2-052-05_S4_C2,undefined,2009-07-15,Stool,undefined,Tanzania
public_2602382,genbank: AICB00000000.1,C887_10,C887_10,undefined,undefined,Homo sapiens (human),C887_10,undefined,undefined,Stool,undefined,Denmark
public_2684705,genbank: ANWT00000000.1,KTE190,KTE190,undefined,undefined,Homo sapiens (human),KTE190,undefined,2010-01-01,undefined,undefined,undefined
public_2623916,genbank: AKLC00000000.1,PA3,PA3,undefined,undefined,Homo sapiens (human),PA3,O157:H7,2007-01-01,undefined,undefined,United States
public_2669223,genbank: AMXQ00000000.1,O111:H8 Str. CFSAN001632,O111:H8 Str. CFSAN001632,unassigned,undefined,Homo sapiens (human),CFSAN001632,O111:H8,1997-01-01,clinical,undefined,undefined
public_2669654,genbank: ANHV00000000.1,LCT-EC59,LCT-EC59,undefined,undefined,undefined,LCT-EC59,undefined,2011-11-01,grown in culture and sent on a short-term space flight,undefined,"Beijing, Beijing, China"
public_2781075,genbank: CCQJ00000000.1,113 Str. E. coli (2781075),113 Str. E. coli (2781075),undefined,2d,Meat,E. coli,113,2009-02-01,Meat,undefined,Norway
public_2598558,genbank: AIBQ00000000.1,C79_08,C79_08,undefined,undefined,Homo sapiens (human),C79_08,undefined,undefined,Stool,undefined,Slovenia
public_2847584,genbank: JMVN00000000.1,CHS 69,CHS 69,undefined,undefined,Homo sapiens (human),CHS 69,undefined,2013-08-23,Urine,undefined,"North Carolina, USA"
public_2606538,genbank: AIGE00000000.1,DEC7E,DEC7E,undefined,undefined,Sus scrofa (pig),DEC7E,O157:NM,1986-01-01,undefined,undefined,"California, USA"
public_2792816,genbank: JHFD00000000.1,O26:H11 Str. 2010C-4244,O26:H11 Str. 2010C-4244,1a,undefined,undefined,2010C-4244,O26:H11,undefined,undefined,undefined,United States
public_2812396,genbank: JHJR00000000.1,O121:H19 Str. F6714,O121:H19 Str. F6714,undefined,2a,undefined,F6714,O121:H19,undefined,undefined,undefined,United States
public_2709714,genbank: APYC00000000.1,P0299438.3,P0299438.3,undefined,undefined,Homo sapiens (human),P0299438.3,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2831739,genbank: JHNO00000000.1,O26:H11 Str. 06-3464,O26:H11 Str. 06-3464,1a,undefined,undefined,06-3464,O26:H11,undefined,undefined,undefined,United States
public_2813041,genbank: JHJV00000000.1,O25:NM Str. E2539C1,O25:NM Str. E2539C1,undefined,undefined,undefined,E2539C1,O25:NM,undefined,undefined,undefined,United States
public_2835034,genbank: JHPO00000000.1,K02,K02,undefined,undefined,Mus musculus (mouse),K02,undefined,2012-01-01,Intestinal mucosa tissue,undefined,United States
public_2605947,genbank: AIFW00000000.1,DEC6B,DEC6B,undefined,undefined,Homo sapiens (human),DEC6B,O111:H12,1954-01-01,undefined,undefined,Germany
public_2752172,genbank: AVRV00000000.1,B106,B106,unassigned,2a,Homo sapiens (human),B106,O157:H7,1998-01-01,undefined,undefined,"Washington, DC, USA"
public_2593162,genbank: AIAY00000000.1,C418_89,C418_89,undefined,undefined,Homo sapiens (human),C418_89,undefined,undefined,Stool,undefined,Italy
public_2816673,genbank: JHKP00000000.1,O157:H7 Str. 2011EL-2105,O157:H7 Str. 2011EL-2105,undefined,2c,undefined,2011EL-2105,O157:H7,undefined,undefined,undefined,United States
public_2675194,genbank: ANLS00000000.1,95.0943,95.0943,1a,2a,Homo sapiens (human),95.0943,O157:H7,1995-01-01,undefined,undefined,United States
public_2681395,genbank: ANTO00000000.1,KTE212,KTE212,undefined,undefined,Homo sapiens (human),KTE212,undefined,2010-01-01,undefined,undefined,undefined
public_2877407,genbank: JORP00000000.1,6-537-08_S3_C1,6-537-08_S3_C1,undefined,undefined,Homo sapiens (human),6-537-08_S3_C1,undefined,2009-04-15,Stool,undefined,Tanzania
public_2613075,genbank: AJVW00000000.1,O26:H11 Str. CVM9942,O26:H11 Str. CVM9942,1a,undefined,Bos taurus (cow),CVM9942,O26:H11,1983-01-01,undefined,undefined,undefined
public_2750995,genbank: AVRM00000000.1,T1282_01,T1282_01,undefined,2c,Bos taurus (cow),T1282_01,O157:H7,2001-01-01,undefined,undefined,Sweden
public_2878886,genbank: JOSA00000000.1,8-415-05_S3_C3,8-415-05_S3_C3,undefined,undefined,Homo sapiens (human),8-415-05_S3_C3,undefined,2009-04-30,Stool,undefined,Tanzania
public_2681626,genbank: ANTT00000000.1,KTE224,KTE224,undefined,undefined,Homo sapiens (human),KTE224,undefined,2010-01-01,undefined,undefined,undefined
public_2813607,genbank: JHJY00000000.1,O157:H16 Str. 98-3133,O157:H16 Str. 98-3133,undefined,undefined,undefined,98-3133,O157:H16,undefined,undefined,undefined,United States
public_2825870,genbank: JHMJ00000000.1,O121:H19 Str. 2010C-4989,O121:H19 Str. 2010C-4989,undefined,undefined,undefined,2010C-4989,O121:H19,undefined,undefined,undefined,United States
public_2684103,genbank: ANWB00000000.1,KTE84,KTE84,undefined,undefined,Homo sapiens (human),KTE84,undefined,2009-01-01,undefined,undefined,Denmark
public_2618669,genbank: AKAZ00000000.1,O26:H11 Str. CVM10021,O26:H11 Str. CVM10021,1a,undefined,Bos taurus (cow),CVM10021,O26:H11,1995-01-01,undefined,undefined,undefined
public_2851804,genbank: JNMV00000000.1,3-373-03_S1_C1,3-373-03_S1_C1,undefined,undefined,Homo sapiens (human),3-373-03_S1_C1,undefined,2009-01-16,Stool,undefined,Tanzania
public_2815890,genbank: JHKL00000000.1,O157:H7 Str. 2011EL-2109,O157:H7 Str. 2011EL-2109,undefined,2c,undefined,2011EL-2109,O157:H7,undefined,undefined,undefined,United States
public_2552491,genbank: ACXO00000000.1,O157:H7 Str. FRIK2000,O157:H7 Str. FRIK2000,1a,2c,Bos taurus (cow),FRIK2000,O157:H7,undefined,Stool,undefined,undefined
public_2688705,genbank: AOEL00000000.1,PA2,PA2,undefined,2a,Homo sapiens (human),PA2,O157:H7,2006-01-01,undefined,undefined,United States
public_2847128,genbank: JMVB00000000.1,BIDMC 65,BIDMC 65,undefined,undefined,Homo sapiens (human),BIDMC 65,undefined,2013-01-01,ABSCESS,undefined,"Boston, MA, USA"
public_2824276,genbank: JHMB00000000.1,O121:H19 Str. 2011C-3108,O121:H19 Str. 2011C-3108,undefined,2a,undefined,2011C-3108,O121:H19,undefined,undefined,undefined,United States
public_2668527,genbank: AMXO00000000.1,O26:H11 Str. CFSAN001629,O26:H11 Str. CFSAN001629,1a,undefined,Homo sapiens (human),CFSAN001629,O26:H11,1997-01-01,clinical,undefined,undefined
public_2604964,genbank: AIFI00000000.1,DEC3E,DEC3E,undefined,2c,Homo sapiens (human),DEC3E,O157:H7,1988-01-01,undefined,undefined,Canada
public_2585244,genbank: AIAC00000000.1,C1214_90,C1214_90,undefined,undefined,Homo sapiens (human),C1214_90,undefined,undefined,Stool,undefined,India
public_2818935,genbank: JHLB00000000.1,O157:H7 Str. 2011EL-2098,O157:H7 Str. 2011EL-2098,undefined,2a,undefined,2011EL-2098,O157:H7,undefined,undefined,undefined,United States
public_2554896,genbank: ADTN00000000.1,MS 146-1,MS 146-1,undefined,undefined,Homo sapiens (human),MS 146-1,undefined,undefined,Intestine,Crohn's Disease,undefined
public_2809075,genbank: JHIV00000000.1,O157:H7 Str. K2191,O157:H7 Str. K2191,undefined,undefined,undefined,K2191,O157:H7,undefined,undefined,undefined,United States
public_2822302,genbank: JHLS00000000.1,O26:H11 Str. 2011C-3506,O26:H11 Str. 2011C-3506,1a,undefined,undefined,2011C-3506,O26:H11,undefined,undefined,undefined,United States
public_2857414,genbank: JNPI00000000.1,2-177-06_S3_C1,2-177-06_S3_C1,undefined,undefined,Homo sapiens (human),2-177-06_S3_C1,undefined,2009-04-24,Stool,undefined,Tanzania
public_2750223,genbank: AVRE00000000.1,B93,B93,undefined,2a,Homo sapiens (human),B93,O157:H7,2005-01-01,undefined,undefined,"Missouri, USA"
public_2569595,genbank: AEUB00000000.1,O55:H7 Str. USDA 5905,O55:H7 Str. USDA 5905,undefined,undefined,undefined,USDA 5905,O55:H7,1994-01-01,undefined,undefined,undefined
public_2594868,genbank: AIBD00000000.1,C527_94,C527_94,undefined,undefined,Oryctolagus cuniculus (rabbit),C527_94,undefined,undefined,Stool,undefined,Denmark
public_2781173,genbank: CCQK00000000.1,103 Str. E. coli (2781173),103 Str. E. coli (2781173),1a,undefined,Homo sapiens (human),29755,103,2009-08-07,Stool,undefined,Norway
public_2680913,genbank: ANTE00000000.1,KTE188,KTE188,undefined,undefined,Homo sapiens (human),KTE188,undefined,2009-01-01,undefined,undefined,undefined
public_2777697,genbank: CCPQ00000000.1,103 Str. E. coli,103 Str. E. coli,undefined,undefined,Homo sapiens (human),E. coli,103,2006-03-16,Stool,undefined,Norway
public_2867646,genbank: JNRQ00000000.1,3-020-07_S1_C3,3-020-07_S1_C3,undefined,undefined,Homo sapiens (human),3-020-07_S1_C3,undefined,2009-01-16,Stool,undefined,Tanzania
public_2739878,genbank: AQGH00000000.1,2735000,2735000,undefined,undefined,Homo sapiens (human),2735000,undefined,2007-01-01,Stool,undefined,Bangladesh
public_2759452,genbank: AXTN00000000.1,908522,908522,undefined,undefined,Homo sapiens (human),908522,undefined,undefined,undefined,undefined,undefined
public_2868348,genbank: JNRU00000000.1,3-073-06_S1_C1,3-073-06_S1_C1,undefined,undefined,Homo sapiens (human),3-073-06_S1_C1,undefined,2009-01-17,Stool,undefined,Tanzania
public_2734781,genbank: AQDN00000000.1,2851500,2851500,undefined,undefined,Homo sapiens (human),2851500,undefined,2008-01-01,Stool,undefined,Bangladesh
public_2826923,genbank: JHMP00000000.1,O26:H11 Str. 2010C-4819,O26:H11 Str. 2010C-4819,1a,2a,undefined,2010C-4819,O26:H11,undefined,undefined,undefined,United States
public_2715045,genbank: APZE00000000.1,P0302308.2,P0302308.2,undefined,undefined,Homo sapiens (human),P0302308.2,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2604260,genbank: AIEY00000000.1,DEC1D,DEC1D,undefined,undefined,Homo sapiens (human),DEC1D,O55:H6,1955-01-01,undefined,undefined,Egypt
public_2694406,genbank: AOQS00000000.1,TOP2396-3,TOP2396-3,undefined,undefined,Homo sapiens (human),TOP2396-3,undefined,2005-03-03,Stool,undefined,"Seattle, WA, USA"
public_2793492,genbank: JHFG00000000.1,O111:NM Str. 2010C-3977,O111:NM Str. 2010C-3977,1a,undefined,undefined,2010C-3977,O111:NM,undefined,undefined,undefined,United States
public_2820193,genbank: JHLI00000000.1,O157:H7 Str. 2011EL-2090,O157:H7 Str. 2011EL-2090,undefined,2a,undefined,2011EL-2090,O157:H7,undefined,undefined,undefined,United States
public_2829176,genbank: JHMZ00000000.1,O177:NM Str. 2010C-4558,O177:NM Str. 2010C-4558,undefined,multiple,undefined,2010C-4558,O177:NM,undefined,undefined,undefined,United States
public_2550405,genbank: ABHP00000000.1,O157:H7 Str. EC4113,O157:H7 Str. EC4113,undefined,2a,undefined,EC4113,O157:H7,undefined,undefined,undefined,undefined
public_2898412,genbank: JRBB00000000.1,DH5a,DH5a,undefined,undefined,Environmental source,DH5a,undefined,2012-01-01,soil,undefined,"Beijing, Beijing, China"
public_2814627,genbank: JHKE00000000.1,O157:H7 Str. 2011EL-2288,O157:H7 Str. 2011EL-2288,undefined,undefined,undefined,2011EL-2288,O157:H7,undefined,undefined,undefined,United States
public_2858944,genbank: JNPS00000000.1,2-005-03_S4_C1,2-005-03_S4_C1,undefined,undefined,Homo sapiens (human),2-005-03_S4_C1,undefined,2009-07-15,Stool,undefined,Tanzania
public_2803534,genbank: JHHI00000000.1,O157:H7 Str. 08-4529,O157:H7 Str. 08-4529,undefined,undefined,undefined,08-4529,O157:H7,undefined,undefined,undefined,United States
public_2798323,genbank: JHGI00000000.1,O26:H11 Str. 2009C-4826,O26:H11 Str. 2009C-4826,1a,undefined,undefined,2009C-4826,O26:H11,undefined,undefined,undefined,United States
